Pogoda	Temperatura	Wilgotnosc	Wietrznosc
slonecznie	cieplo	wilgotne	brak	Nie
slonecznie	cieplo	wilgotne	wiatr	Nie
pochmurnie	cieplo	wilgotne	brak	Tak
deszczowo	cieplo	wilgotne	brak	Tak
deszczowo	mroznie	suche	brak	Tak
deszczowo	mroznie	suche	wiatr	Nie
pochmurnie	mroznie	suche	wiatr	Tak
slonecznie	srednio	wilgotne	brak	Nie
slonecznie	mroznie	suche	brak	Tak
deszczowo	srednio	suche	brak	Tak
slonecznie	srednio	suche	wiatr	Tak
pochmurnie	srednio	wilgotne	wiatr	Tak
pochmurnie	mroznie	suche	brak	Tak
deszczowo	srednio	wilgotne	wiatr	Nie
